OBJECTID,Incident Name,Incident Type Category,Unique Fire Identifier,Daily Acres,Calculated Acres,Percent Contained,ICS209 Report Date Time,Fire Discovery Date Time,Discovery Acres,Point of Orgin County,Point of Orgin State,Cause,Cause General,Geographic Area Coordination Center,Total Incident Personnel,Incident Mgmt Organization,Mgmt Complexity,Residences Destroyed,Other Structures Destroyed,Injuries,Fatalities,Predominant Fuel Group,Predominant Fuel Model,Primary Fuel Model,Containment Date Time,Control Date Time,Final Acres,Is Valid,Fire Out Date Time,Modified On Date Time,Incident Type Kind,IRWIN ID,Global ID,Days Since Modified On Date,Days Since Fire Discovery Date,x,y
138,Rx Houston 0156,RX,2024-TXTXS-240157,125,,0,,2/20/2024 3:50:00 PM,125,Houston,US-TX,Undetermined,,SACC,,,Type 1 Prescribed Fire,0,,,,,,,,,,1,,2/22/2024 2:17:34 PM,FI,0043865c-4c98-4b7b-9efb-cade1804dad8,3e3c7d88-53fe-4e2b-80f1-9211cb5fefb2,9,11,-95.313,31.2411000000001
139,Rx Polk 0151,RX,2024-TXTXS-240151,352,,0,,2/20/2024 2:30:00 PM,352,Polk,US-TX,Undetermined,,SACC,,,Type 1 Prescribed Fire,0,,,,,,,,,,1,,2/22/2024 2:18:10 PM,FI,2994991a-3e0d-4d5a-bbce-191f3458fb7e,79dcef5e-441b-49ba-ab66-fffe9340da1b,9,11,-94.8138069999999,30.9521110000001
140,OSF CPT 93 Rx 0221,RX,2024-FLFNF-000602,1165,,,,2/21/2024 2:15:36 PM,,Baker,US-FL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/22/2024 2:22:30 PM,FI,bfc89704-d11f-4e0b-b261-bd3e0a9be282,2299abf9-7fc0-4db3-bc52-00fca031ce44,9,10,-82.4029169999999,30.226417
141,RX OKTSR-HFR-FY24 West,RX,2024-OKTSR-000376,682,,,,2/22/2024 3:20:48 PM,,Johnston,US-OK,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/23/2024 1:10:30 AM,FI,004e678b-b7d4-4303-ae93-b95d55ea71b9,b8815d57-9c9c-471c-9827-357d5922e499,9,9,-96.6449279999999,34.2044530000001
142,374 CR 820 Heidelberg,WF,2024-MSMSS-011961,132,,100,2/22/2024 5:25:50 PM,2/21/2024 11:00:00 PM,,Jasper,US-MS,Undetermined,,SACC,5,Type 5 IC,Type 5 Incident,,,,,,,Closed Timber Litter,,,,1,,2/22/2024 5:25:50 PM,FI,6fc50b24-7ce9-4e23-90a4-84db05639d42,883496cf-4e3d-4ed3-9034-49d507030d62,9,10,-89.0563888999999,31.8983333
143,ANF BU 98 Rx 0222,RX,2024-FLFNF-000625,2815,,,,2/22/2024 1:07:21 PM,,Liberty,US-FL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/22/2024 7:27:41 PM,FI,bb0ee7d8-0137-4afb-b3a1-947d858548d6,d9d13993-e849-443a-bda8-04b9ec93a9dd,9,10,-85.039667,30.0352
144,SEA SC1 Alvin Buster's Pasture Rx  0222,RX,2024-FLSEA-000632,103,,,,2/22/2024 2:11:52 PM,,Hendry,US-FL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/22/2024 7:46:15 PM,FI,ab682188-132b-42f2-93bd-4f0d74867dc2,cdbc782e-2d2b-4e46-9668-e09b03643a69,9,9,-80.9291669999999,26.283333
145,Blanca Wetlands RX,RX,2024-COSLD-000131,158,,,,2/22/2024 7:32:46 PM,,Alamosa,US-CO,Undetermined,,RMCC,,,,,,,,,,,,,,1,,2/29/2024 7:19:25 PM,FI,7f2d6ff4-7ccb-4edf-bf26-3011965a1e48,5d608474-1b28-4752-a07a-49c7e108b5a9,2,9,-105.683871,37.5689160000001
146,Tombigbee Comp 76 77 RX,RX,2024-MSMNF-000118,986,,,,2/22/2024 2:54:07 PM,,Winston,US-MS,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/22/2024 9:11:20 PM,FI,30028236-0601-462f-b58f-9f9d4c4b5b3b,72564884-5830-4cb2-90c1-8f83b3305914,9,9,-89.0819,33.2420000000001
147,OCF CPT 96 Rx 0222,RX,2024-FLFNF-000630,350,,,,2/22/2024 1:43:27 PM,,Marion,US-FL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/22/2024 11:18:17 PM,FI,946263b6-1b83-427c-9189-88311cb4e127,be60d902-22ee-41db-a3f2-2c0ac765ad15,9,9,-81.9277949999999,29.2681880000001
148,TAL BEE GUM RX,RX,2024-ALALF-240105,778,,,,2/22/2024 2:52:57 PM,,Clay,US-AL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/22/2024 11:53:28 PM,FI,910c67cf-e8c0-4493-89bc-ca19992f1158,8178ce69-8c66-489e-8692-17bba21c49e1,9,9,-86.118997,33.194986
149,RX OKSQR-FY24-HFR-RX-SHELBY HISAW,RX,2024-OKSQR-000383,595,,,,2/23/2024 12:58:26 PM,,Crawford,US-AR,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/25/2024 3:29:36 PM,FI,9a0e91a9-cbee-4586-8fbb-370acfef873f,12bb397a-fb84-4095-9d23-26e60089e0c1,6,9,-94.079706,35.449806
150,RX Bee Mountain,RX,2024-AROUF-000387,3349,,,,2/23/2024 1:17:25 PM,,Polk,US-AR,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/23/2024 9:34:40 PM,FI,8c082c11-06fa-45b6-9378-150dc49ad051,df9b232a-069e-4479-855b-2c2ab63bbd86,8,9,-94.271111,34.493056
151,RX Bear Den Mountain,RX,2024-AROUF-000389,2048,,,,2/23/2024 1:33:54 PM,,Montgomery,US-AR,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/24/2024 8:40:29 PM,FI,b5c2a6cb-44b8-46fa-8ed6-544bff1ffe8a,447bb75d-67e9-4fcd-9920-ae057eb7017a,7,9,-93.8575,34.5327780000001
152,RX Buffalo Creek / Jack,RX,2024-AROUF-000386,3835,,,,2/23/2024 1:16:37 PM,,McCurtain,US-OK,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/23/2024 9:59:06 PM,FI,afdc4853-6fa4-4bbf-93ab-2b8a505694d6,ba8029a6-919d-4e6a-bf54-bfa0789365c5,8,9,-94.642167,34.3541670000001
153,Harmon Spring RX,RX,2024-MOMTF-000081,1355,,,,2/23/2024 1:25:00 PM,1355,Washington,US-MO,Undetermined,,EACC,,,,,,,,,,,,,,1,,2/24/2024 4:16:49 PM,FI,3ddbc328-3118-4f50-9e5d-408dbe07d457,5ad08e0d-ea07-4588-9712-9b959228aded,7,9,-91.0622999999999,37.9896000000001
154,RX OKTSR-FY24-RX-EAST-ENTRANCE-RD,RX,2024-OKTSR-000390,344,,,,2/23/2024 2:05:03 PM,,Johnston,US-OK,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/23/2024 2:10:36 PM,FI,91d7399f-b5b3-4a20-bd99-7d1f3e63ff0b,d0d91d48-4df0-4a6a-bd11-4e5508137111,8,8,-96.640539,34.206439
155,RX OKTSR-FY24-HFR-RX-AIRPORT,RX,2024-OKTSR-000391,202,,,,2/23/2024 2:06:37 PM,,Johnston,US-OK,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/23/2024 2:10:46 PM,FI,d2fb5225-092e-4aac-908e-2d78d02d2461,c5ab2ce2-9e87-4851-a1ed-5a93182845f6,8,8,-96.669722,34.1975
156,RX Payne Ridge,RX,2024-AROZF-000392,3488,,,,2/23/2024 2:19:18 PM,,Pope,US-AR,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/23/2024 10:52:45 PM,FI,212e0579-7367-406f-8ca7-79c5ab6d26e8,d03442e6-a976-4feb-a3f8-90ce89e3c752,8,8,-93.055378,35.6469470000001
157,RX Rotary Ann,RX,2024-AROZF-000393,2471,,,,2/23/2024 2:28:32 PM,,Pope,US-AR,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/24/2024 12:33:37 AM,FI,ccc64e2e-e75a-4f96-b8ec-f17d59443f37,a0793395-ee50-41ba-b024-0f3bb50237b4,8,8,-93.055378,35.6469470000001
158,Rx Brown 0152,RX,2024-TXTXS-240153,1100,,0,,2/20/2024 3:23:46 PM,1100,Brown,US-TX,Undetermined,,SACC,,,Type 1 Prescribed Fire,0,,,,,,,,,,1,,2/23/2024 2:51:32 PM,FI,86233b32-0f8d-4dd9-a7fa-67e0a16dc3c8,4345b496-b6ac-43b7-8464-055822e87bf7,8,11,-98.8969,31.6309000000001
